City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
127,Mayo,US,65.43,clear sky,38.8876,-76.5119,Resorts Resource Group International
128,Georgetown,MY,77.95,moderate rain,5.4112,100.3354,Cititel Penang
129,Pueblo Bello,CO,84.7,broken clouds,8.2041,-76.526,
130,Kembe,CF,73.9,light rain,4.6228,21.8865,
131,Ponta Do Sol,PT,65.71,clear sky,32.6667,-17.1,Hotel do Campo
132,Tarpon Springs,US,77.18,clear sky,28.1461,-82.7568,"Innisbrook, A Salamander Golf and Spa Resort"
133,Kambam,ID,77.9,overcast clouds,5.2505,96.8629,Imam & ebenk homestay
134,Rocha,UY,68.94,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
135,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
136,Aswan,EG,67.3,clear sky,24.0934,32.907,Nuba Nile
137,Kindu,CD,70.63,overcast clouds,-2.95,25.95,Résidence Okanda
138,Antofagasta,CL,69.08,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
139,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
140,Vaitape,PF,81.25,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
141,Kloulklubed,PW,81.1,moderate rain,7.0419,134.2556,Storyboard Beach Resort
142,Conde,BR,87.26,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
143,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
144,Eyl,SO,77.16,clear sky,7.9803,49.8164,Amiin Hotel
145,Pisco,PE,70.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
146,Lobito,AO,77.14,light rain,-12.3481,13.5456,Casa Rosa Hotel Residence
147,Cuamba,MZ,79.11,few clouds,-14.8031,36.5372,Hotel Vision
148,Bonthe,SL,81.68,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
149,Andros Town,BS,78.76,scattered clouds,24.7,-77.7667,Hanks place
150,Karoi,ZW,74.37,clear sky,-16.8099,29.6925,Chikangwe Guest houses
151,Takoradi,GH,80.65,few clouds,4.8845,-1.7554,Raybow International Hotel
152,Destin,US,76.64,clear sky,30.3935,-86.4958,"Inn On Destin Harbor, Ascend Hotel Collection"
153,Liberal,US,73.15,clear sky,37.0431,-100.921,Hampton Inn & Suites Liberal
154,Piacabucu,BR,83.3,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
155,Roanoke Rapids,US,68.88,clear sky,36.4615,-77.6542,Hampton Inn Roanoke Rapids
156,Bandarbeyla,SO,77.18,clear sky,9.4942,50.8122,JABIR HOTEL
157,Manaus,BR,86.5,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
158,Daru,PG,80.11,light rain,-9.0763,143.2092,Daru Lodge
159,Moron,AR,82.02,clear sky,-34.6534,-58.6198,Hotel Morón
160,Kaura Namoda,NG,78.82,broken clouds,12.5898,6.5779,Moonlight Hotel
161,Kuching,MY,79.02,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
162,Alofi,NU,75.09,light rain,-19.0595,-169.9187,Taloa Heights
163,Adre,TD,74.23,clear sky,13.4667,22.2,
164,Ugoofaaru,MV,82.06,few clouds,5.6667,73.0,Ungoofaaru Inn
165,Kroya,ID,78.37,moderate rain,-7.6331,109.2461,RUSTANTO Fam
166,Bara,NG,79.9,scattered clouds,10.3744,10.7288,
167,Sao Felix Do Xingu,BR,84.11,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
