City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
225,Buala,-8.145,159.5921,85.24,70,67,5.79,SB,2021-11-28 03:38:35
226,La Ronge,55.1001,-105.2842,12.45,85,75,2.3,CA,2021-11-28 03:38:35
227,Dzerzhinskoye,56.8344,95.2283,24.08,78,100,12.75,RU,2021-11-28 03:38:35
228,Aripuana,-9.1667,-60.6333,72.14,99,80,2.04,BR,2021-11-28 03:38:36
229,Comodoro Rivadavia,-45.8667,-67.5,51.66,32,0,10.36,AR,2021-11-28 03:38:36
230,Pampa,35.5362,-100.9599,49.15,57,1,9.22,US,2021-11-28 03:38:37
231,Muros,42.7762,-9.0603,39.7,73,26,9.71,ES,2021-11-28 03:38:37
232,Yakima,46.4665,-120.6678,46.98,93,90,0.0,US,2021-11-28 03:35:52
233,Russkaya Polyana,49.417,31.9201,40.8,87,6,3.71,UA,2021-11-28 03:38:38
234,Creel,27.75,-107.6333,38.23,82,52,3.15,MX,2021-11-28 03:38:38
235,Dikson,73.5069,80.5464,-13.92,97,100,9.44,RU,2021-11-28 03:38:39
236,Kashi,39.4547,75.9797,29.41,50,59,6.71,CN,2021-11-28 03:38:39
237,Hohhot,40.8106,111.6522,41.29,48,49,2.24,CN,2021-11-28 03:38:40
238,Faya,18.3851,42.4509,52.32,48,0,6.64,SA,2021-11-28 03:38:40
239,Saskylakh,71.9167,114.0833,-7.26,95,98,9.08,RU,2021-11-28 03:38:40
240,Matagami,49.7502,-77.6328,10.51,100,90,9.22,CA,2021-11-28 03:35:11
241,Canutama,-6.5339,-64.3831,74.77,97,98,1.92,BR,2021-11-28 03:38:41
242,Meulaboh,4.1363,96.1285,80.71,84,89,11.9,ID,2021-11-28 03:38:42
243,Bitam,2.076,11.5007,67.24,99,100,2.08,GA,2021-11-28 03:38:42
244,Smithers,54.7804,-127.1743,32.32,86,90,11.5,CA,2021-11-28 03:38:42
245,Viedma,-40.8135,-62.9967,60.8,86,100,4.9,AR,2021-11-28 03:38:43
