City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
570,Hearst,49.6835,-83.6665,17.85,89,100,12.73,CA,2021-12-02 18:42:11,overcast clouds
571,Opportunity,47.6499,-117.2399,52.9,70,40,3.0,US,2021-12-02 18:42:12,scattered clouds
572,Miles City,46.4083,-105.8406,45.57,53,75,17.27,US,2021-12-02 18:42:12,broken clouds
573,Haapiti,-17.5667,-149.8667,82.13,75,67,24.4,PF,2021-12-02 18:42:13,light rain
574,Kajaani,64.2273,27.7285,3.25,85,90,2.3,FI,2021-12-02 18:42:13,light snow
575,Moroto,2.5345,34.6666,74.62,43,38,15.28,UG,2021-12-02 18:42:14,scattered clouds
576,Thinadhoo,0.5333,72.9333,81.32,81,100,8.99,MV,2021-12-02 18:42:14,overcast clouds
577,Zambezi,-13.5432,23.1047,73.31,52,82,0.83,ZM,2021-12-02 18:42:14,broken clouds
578,Suntar,62.1444,117.6319,-26.14,99,26,3.65,RU,2021-12-02 18:42:15,scattered clouds
579,Sault Sainte Marie,46.5168,-84.3333,35.89,69,90,20.71,CA,2021-12-02 18:39:13,shower rain
580,Sheridan,44.8333,-106.9173,73.31,25,1,3.0,US,2021-12-02 18:42:15,clear sky
581,Pafos,34.7667,32.4167,55.31,62,20,8.05,CY,2021-12-02 18:42:16,few clouds
582,Chute-Aux-Outardes,49.1168,-68.399,30.18,69,90,18.41,CA,2021-12-02 18:42:16,snow
583,Hauterive,46.0901,3.4459,34.56,97,76,8.3,FR,2021-12-02 18:42:17,light rain
584,San Jose,37.3394,-121.895,71.91,67,75,0.0,US,2021-12-02 18:40:50,haze
585,Challans,46.8436,-1.8749,40.91,84,15,9.51,FR,2021-12-02 18:42:18,few clouds
586,Juba,4.8517,31.5825,86.07,30,62,2.82,SS,2021-12-02 18:42:18,broken clouds
587,Sao Miguel Do Araguaia,-13.275,-50.1628,83.64,72,100,3.29,BR,2021-12-02 18:42:18,light rain
588,Timra,62.487,17.3257,13.68,78,90,17.27,SE,2021-12-02 18:42:19,light snow
589,Kearney,40.6995,-99.0815,69.19,35,1,3.0,US,2021-12-02 18:42:19,clear sky
590,Doha,25.2867,51.5333,75.09,72,0,4.61,QA,2021-12-02 18:38:22,clear sky
591,Along,28.1667,94.7667,56.08,78,44,1.77,IN,2021-12-02 18:42:20,scattered clouds
592,Asosa,10.0667,34.5333,68.32,44,7,3.33,ET,2021-12-02 18:43:21,clear sky
593,San Antonio Del Tachira,7.8145,-72.4431,84.38,51,40,26.46,VE,2021-12-02 18:43:21,scattered clouds
594,Manjeshwar,12.7194,74.8861,79.75,88,62,3.36,IN,2021-12-02 18:43:22,broken clouds
595,Roald,62.5833,6.1333,30.34,74,75,11.5,NO,2021-12-02 18:43:22,light snow
596,Beloha,-25.1667,45.05,73.8,77,12,10.63,MG,2021-12-02 18:43:22,few clouds
597,Mandera,3.9366,41.867,87.28,38,17,2.89,KE,2021-12-02 18:43:23,few clouds
598,Kathmandu,27.7167,85.3167,55.62,76,75,2.3,NP,2021-12-02 18:39:02,broken clouds
599,Puerto Madero,14.7208,-92.4215,82.99,64,89,7.47,MX,2021-12-02 18:43:23,overcast clouds
600,Port Augusta,-32.5,137.7667,60.71,56,99,12.46,AU,2021-12-02 18:43:24,overcast clouds
601,Grand-Santi,4.25,-54.3833,75.22,96,100,1.99,GF,2021-12-02 18:43:24,overcast clouds
602,Twin Falls,42.3505,-114.6445,48.31,71,1,4.61,US,2021-12-02 18:40:42,clear sky
603,Orange Cove,36.6244,-119.3137,82.85,17,100,2.06,US,2021-12-02 18:40:21,overcast clouds
604,Axim,4.8699,-2.2405,80.02,83,5,8.5,GH,2021-12-02 18:43:25,clear sky
605,Flin Flon,54.7682,-101.865,6.64,78,90,4.61,CA,2021-12-02 18:43:25,light snow
606,Malatya,38.5,38.0,24.85,86,0,6.91,TR,2021-12-02 18:43:26,clear sky
607,Patti,31.2808,74.8572,57.15,32,48,2.84,IN,2021-12-02 18:43:26,scattered clouds
608,Tezu,27.9167,96.1667,64.24,57,91,3.87,IN,2021-12-02 18:43:27,overcast clouds
609,Horta,38.5333,-28.6333,64.04,82,40,5.75,PT,2021-12-02 18:41:34,scattered clouds
610,Bartica,6.4,-58.6167,86.32,83,100,3.27,GY,2021-12-02 18:43:28,overcast clouds
611,Atikokan,48.7555,-91.6216,25.61,73,100,7.54,CA,2021-12-02 18:43:28,overcast clouds
612,Nassau,40.7507,-73.5829,58.66,69,20,3.0,US,2021-12-02 18:41:51,few clouds
613,Cabadiangan,9.7531,122.4739,76.35,92,100,8.72,PH,2021-12-02 18:43:29,overcast clouds
614,Nicoya,10.1483,-85.452,87.35,58,33,7.92,CR,2021-12-02 18:43:29,scattered clouds
615,Kayes,14.0,-11.0,88.9,13,98,4.83,ML,2021-12-02 18:43:30,overcast clouds
616,Krasnoselkup,65.7,82.4667,32.59,98,100,15.37,RU,2021-12-02 18:43:30,light snow
617,Verkhoyansk,67.5447,133.385,-43.44,99,100,2.35,RU,2021-12-02 18:43:30,overcast clouds
618,Gornopravdinsk,60.05,69.9,32.95,98,100,8.41,RU,2021-12-02 18:43:31,light snow
619,Florencia,43.7667,11.25,47.37,95,75,2.3,IT,2021-12-02 18:43:31,broken clouds
620,Sokolo,14.7328,-6.1219,87.46,13,100,7.38,ML,2021-12-02 18:43:32,overcast clouds
621,Dawei,14.0833,98.2,70.7,66,37,6.82,MM,2021-12-02 18:43:32,scattered clouds
622,Chivasso,45.1894,7.8872,45.73,82,0,4.61,IT,2021-12-02 18:43:32,clear sky
623,Auki,-8.7676,160.7034,76.96,86,100,1.52,SB,2021-12-02 18:43:33,overcast clouds
624,Plettenberg Bay,-34.0527,23.3716,59.63,80,49,12.26,ZA,2021-12-02 18:43:33,scattered clouds
625,Olavarria,-36.8927,-60.3225,84.02,27,0,9.22,AR,2021-12-02 18:43:34,clear sky
626,Coihaique,-45.5752,-72.0662,61.41,44,40,5.75,CL,2021-12-02 18:43:34,scattered clouds
627,Eau Claire,44.8114,-91.4985,46.85,54,1,5.01,US,2021-12-02 18:43:35,clear sky
628,Krasnoborsk,61.5598,45.934,16.02,92,100,9.19,RU,2021-12-02 18:43:35,overcast clouds
629,Alta Floresta,-9.8756,-56.0861,89.42,66,40,5.75,BR,2021-12-02 18:43:35,scattered clouds
630,Viedma,-40.8135,-62.9967,61.84,41,100,13.42,AR,2021-12-02 18:43:36,overcast clouds
631,Zdvinsk,54.7021,78.661,34.25,71,100,20.04,RU,2021-12-02 18:43:36,overcast clouds
632,Weyburn,49.6668,-103.8511,34.02,80,100,5.75,CA,2021-12-02 18:41:08,light rain
633,Udachnyy,66.4167,112.4,-36.45,100,48,2.93,RU,2021-12-02 18:43:37,scattered clouds
634,Giovinazzo,41.1864,16.6674,60.15,50,0,4.0,IT,2021-12-02 18:43:38,clear sky
635,Vila Velha,-20.3297,-40.2925,78.75,83,20,11.99,BR,2021-12-02 18:43:38,few clouds
636,Denpasar,-8.65,115.2167,78.46,88,20,3.44,ID,2021-12-02 18:43:38,few clouds
